"Timestamp","Name","Are there power lines?","In not a lot of words what is the answer to what is the setting of this picture?","What is the answer to what is the man wearing?","In not a lot of words where is the air mattress?","In not many words what is he doing?","What is the answer to what is the dresser made out of?","In not a lot of words what is the woman holding to shield the snow?","In not many words what part of the house is this picture taken in?","What type shoes is the man wearing?","In not a lot of words what is the answer to where is this picture taken?","Other thoughts or comments"
"2018/11/10 2:58:56 pm GMT-5","Rajesh","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Child","Kitchen","Sneakers","Hospital",""
"2018/11/10 3:55:55 pm GMT-5","Abhiman","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","White","Hospital",""
"2018/11/10 11:31:32 pm GMT-5","Nk","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
"2018/11/11 12:32:19 am GMT-5","Nishi","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/11 7:05:55 am GMT-5","Shilpa","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/11 7:44:47 am GMT-5","Don't feel like answering","Blue","Sunset","4","Red","Skateboarding","Cantaloupe","Umbrella","Kingfisher","Cleats","Outdoors",""
"2018/11/11 8:52:06 am GMT-5","hetmyar","Yes","Train Station","Wetsuit","On floor","Skateboarding","Cantaloupe","Umbrella","Kitchen","Sneakers","Hospital",""
"2018/11/11 11:55:23 am GMT-5","Rohit","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
"2018/11/11 12:04:05 pm GMT-5","BHAVYA","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Loafers","Hospital",""
"2018/11/11 12:20:07 pm GMT-5","Nittin","Yes","Train Station","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
"2018/11/11 12:45:45 pm GMT-5","Naman","Yes","Miami dream realty","Wetsuit","On floor","Skateboarding","Wood","Umbrella","Kitchen","Cleats","Hospital",""
